127.0.0.1, 2014-02-13 14:06:40, GET, /, HTTP/1.1, 303, 1.898000
127.0.0.1, 2014-02-13 14:06:40, GET, /user/login, HTTP/1.1, 200, 0.398000
127.0.0.1, 2014-02-13 14:06:40, GET, /booking/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.047000
127.0.0.1, 2014-02-13 14:06:40, GET, /booking/static/css/fullcalendar.css, HTTP/1.1, 200, 0.053000
127.0.0.1, 2014-02-13 14:06:40, GET, /booking/static/css/calendar.css, HTTP/1.1, 200, 0.070000
127.0.0.1, 2014-02-13 14:06:40, GET, /booking/static/css/default.css, HTTP/1.1, 200, 0.069000
127.0.0.1, 2014-02-13 14:06:40, GET, /booking/static/js/fullcalendar.min.js, HTTP/1.1, 200, 0.019000
127.0.0.1, 2014-02-13 14:06:40, GET, /booking/static/js/jquery.tablesorter.min.js, HTTP/1.1, 200, 0.023000
127.0.0.1, 2014-02-13 14:06:40, GET, /booking/static/js/calendar.js, HTTP/1.1, 200, 0.087000
127.0.0.1, 2014-02-13 14:06:40, GET, /booking/static/js/jquery.js, HTTP/1.1, 200, 0.108000
127.0.0.1, 2014-02-13 14:06:40, GET, /booking/static/js/check_browser_close.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2014-02-13 14:06:40, GET, /booking/static/js/application.js, HTTP/1.1, 200, 0.067000
127.0.0.1, 2014-02-13 14:06:40, GET, /booking/static/css/print.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-02-13 14:06:40, GET, /booking/static/css/images/img4.gif, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-02-13 14:06:51, POST, /user/login, HTTP/1.1, 303, 0.185000
127.0.0.1, 2014-02-13 14:06:51, GET, /user/login, HTTP/1.1, 200, 0.183000
127.0.0.1, 2014-02-13 14:07:14, POST, /user/login, HTTP/1.1, 303, 0.176000
127.0.0.1, 2014-02-13 14:07:14, GET, /user/login, HTTP/1.1, 200, 0.169000
127.0.0.1, 2014-02-13 14:07:28, GET, /admin, HTTP/1.1, 200, 0.370000
127.0.0.1, 2014-02-13 14:07:28, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.019000
127.0.0.1, 2014-02-13 14:07:28, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.036000
127.0.0.1, 2014-02-13 14:07:28, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.037000
127.0.0.1, 2014-02-13 14:07:28, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.039000
127.0.0.1, 2014-02-13 14:07:28, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-02-13 14:07:28, GET, /admin/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.015000
